WEEK_START,SALES_CHANNEL,ORDERS,REVENUE,AVG_ORDER_VALUE
2025-02-24,Online,879,2130976.75,2424.32
2025-03-03,Online,984,2354084.29,2392.36
2025-03-10,Online,876,2162297.03,2468.38
2025-03-17,Online,924,2297887.95,2486.89
2025-03-24,Online,904,2181378.64,2413.03
2025-03-31,Online,922,2229394.58,2418.0
2025-04-07,Online,886,2293992.6,2589.16
2025-04-14,Online,916,2196335.08,2397.75
2025-04-21,Online,1076,2541160.73,2361.67
2025-04-28,Online,887,2204173.51,2484.98
2025-05-05,Online,1046,2483837.03,2374.61
2025-05-12,Online,1036,2525254.38,2437.5
2025-05-19,Online,862,2156143.35,2501.33
2025-05-26,Online,884,2278285.85,2577.25
2025-06-02,Online,979,2361496.31,2412.15
2025-06-09,Online,975,2408862.27,2470.63
2025-06-16,Online,973,2370695.89,2436.48
2025-06-23,Online,1019,2516110.15,2469.2
2025-06-30,Online,1008,2481053.37,2461.36
2025-07-07,Online,1052,2425562.7,2305.67
2025-07-14,Online,980,2473025.5,2523.5
2025-07-21,Online,901,2260268.59,2508.62
2025-07-28,Online,862,2216428.25,2571.26
2025-08-04,Online,1034,2422563.45,2342.9
2025-08-11,Online,966,2406045.46,2490.73
2025-08-18,Online,971,2432057.65,2504.69
2025-08-25,Online,981,2365727.3,2411.55
2025-09-01,Online,972,2407761.83,2477.12
2025-09-08,Online,928,2329088.54,2509.79
2025-09-15,Online,869,2157022.68,2482.19
2025-09-22,Online,1009,2471262.92,2449.22
2025-09-29,Online,954,2392156.7,2507.5
2025-10-06,Online,898,2316031.42,2579.1
2025-10-13,Online,1024,2466866.13,2409.05
2025-10-20,Online,1041,2490318.78,2392.24
2025-10-27,Online,946,2435984.5,2575.04
2025-11-03,Online,1058,2679056.98,2532.19
2025-11-10,Online,1046,2504298.5,2394.17
2025-11-17,Online,1052,2631716.39,2501.63
2025-11-24,Online,1112,2841882.0,2555.65
2025-12-01,Online,1078,2772782.96,2572.15
2025-12-08,Online,1152,2974304.73,2581.86
2025-12-15,Online,1140,3191724.12,2799.76
2025-12-22,Online,1092,2989087.72,2737.26
2023-01-02,Showroom,306,1148499.22,3753.27
2023-01-09,Showroom,294,1077048.59,3663.43
2023-01-16,Showroom,302,1086112.26,3596.4
2023-01-23,Showroom,291,1065907.19,3662.91
2023-01-30,Showroom,332,1190964.31,3587.24
2023-02-06,Showroom,352,1271112.49,3611.12
2023-02-13,Showroom,341,1258666.2,3691.1
2023-02-20,Showroom,294,1100042.66,3741.64
2023-02-27,Showroom,324,1160485.43,3581.75
2023-03-06,Showroom,252,945797.33,3753.16
2023-03-13,Showroom,258,957045.85,3709.48
2023-03-20,Showroom,296,1109598.7,3748.64
2023-03-27,Showroom,320,1118503.06,3495.32
2023-04-03,Showroom,310,1097518.61,3540.38
2023-04-10,Showroom,328,1125067.27,3430.08
2023-04-17,Showroom,305,1146469.05,3758.91
2023-04-24,Showroom,336,1219358.13,3629.04
2023-05-01,Showroom,249,954761.5,3834.38
2023-05-08,Showroom,338,1268158.73,3751.95
2023-05-15,Showroom,321,1211304.97,3773.54
2023-05-22,Showroom,285,1073972.7,3768.33
2023-05-29,Showroom,326,1168182.59,3583.38
2023-06-05,Showroom,303,1120076.15,3696.62
2023-06-12,Showroom,300,1087495.28,3624.98
2023-06-19,Showroom,319,1206679.46,3782.69
2023-06-26,Showroom,297,1114948.33,3754.03
2023-07-03,Showroom,309,1173687.37,3798.34
2023-07-10,Showroom,345,1203738.69,3489.1
2023-07-17,Showroom,314,1198437.92,3816.68
2023-07-24,Showroom,313,1165651.6,3724.13
2023-07-31,Showroom,326,1233269.32,3783.03
2023-08-07,Showroom,324,1131560.22,3492.47
2023-08-14,Showroom,305,1209757.31,3966.42
2023-08-21,Showroom,293,1071572.47,3657.24
2023-08-28,Showroom,287,1022023.58,3561.06
2023-09-04,Showroom,259,952363.57,3677.08
2023-09-11,Showroom,290,1082839.52,3733.93
2023-09-18,Showroom,280,1068412.02,3815.76
2023-09-25,Showroom,273,1007785.47,3691.52
2023-10-02,Showroom,325,1189924.93,3661.31
2023-10-09,Showroom,326,1145125.8,3512.66
2023-10-16,Showroom,289,1052914.63,3643.3
2023-10-23,Showroom,321,1207689.34,3762.27
2023-10-30,Showroom,295,1134422.73,3845.5
2023-11-06,Showroom,302,1112234.93,3682.9
2023-11-13,Showroom,316,1141756.93,3613.15
2023-11-20,Showroom,382,1342936.48,3515.54
2023-11-27,Showroom,357,1322387.08,3704.17
2023-12-04,Showroom,305,1178554.19,3864.11
2023-12-11,Showroom,308,1342599.43,4359.09
2023-12-18,Showroom,366,1526596.27,4171.03
2023-12-25,Showroom,393,1585779.84,4035.06
2024-01-01,Showroom,301,1175579.23,3905.58
2024-01-08,Showroom,316,1212459.81,3836.9
2024-01-15,Showroom,296,1082122.57,3655.82
2024-01-22,Showroom,278,1058569.09,3807.8
2024-01-29,Showroom,316,1182016.38,3740.56
2024-02-05,Showroom,306,1087860.65,3555.1
2024-02-12,Showroom,346,1219442.0,3524.4
2024-02-19,Showroom,327,1211694.4,3705.49
2024-02-26,Showroom,289,1072648.0,3711.58
2024-03-04,Showroom,261,1005253.98,3851.55
2024-03-11,Showroom,264,998410.27,3781.86
2024-03-18,Showroom,271,1055199.92,3893.73
2024-03-25,Showroom,305,1096479.33,3595.01
2024-04-01,Showroom,266,955425.95,3591.83
2024-04-08,Showroom,277,1084224.2,3914.17
2024-04-15,Showroom,226,883397.78,3908.84
2024-04-22,Showroom,266,973866.26,3661.15
2024-04-29,Showroom,236,891164.98,3776.12
2024-05-06,Showroom,341,1273741.64,3735.31
2024-05-13,Showroom,262,976514.23,3727.15
2024-05-20,Showroom,295,1098600.67,3724.07
2024-05-27,Showroom,300,1203024.54,4010.08
2024-06-03,Showroom,316,1199880.86,3797.09
2024-06-10,Showroom,371,1283757.02,3460.26
2024-06-17,Showroom,280,1038413.5,3708.62
2024-06-24,Showroom,279,1034331.69,3707.28
2024-07-01,Showroom,333,1259412.54,3782.02
2024-07-08,Showroom,294,1110760.91,3778.1
2024-07-15,Showroom,302,1168683.84,3869.81
2024-07-22,Showroom,318,1165429.79,3664.87
2024-07-29,Showroom,349,1262768.75,3618.25
2024-08-05,Showroom,357,1309201.48,3667.23
2024-08-12,Showroom,289,1075291.93,3720.73
2024-08-19,Showroom,263,979624.51,3724.81
2024-08-26,Showroom,288,1104561.21,3835.28
2024-09-02,Showroom,266,1014580.77,3814.21
2024-09-09,Showroom,249,957997.3,3847.38
2024-09-16,Showroom,270,1030728.68,3817.51
2024-09-23,Showroom,263,995356.48,3784.63
2024-09-30,Showroom,307,1154591.78,3760.89
2024-10-07,Showroom,298,1115174.39,3742.2
2024-10-14,Showroom,317,1210607.95,3818.95
2024-10-21,Showroom,282,1063064.92,3769.73
2024-10-28,Showroom,276,1014920.73,3677.25
2024-11-04,Showroom,304,1131055.27,3720.58
2024-11-11,Showroom,303,1090201.89,3598.03
2024-11-18,Showroom,333,1252235.98,3760.47
2024-11-25,Showroom,334,1281499.72,3836.83
2024-12-02,Showroom,311,1255431.41,4036.76
2024-12-09,Showroom,327,1346141.68,4116.64
2024-12-16,Showroom,341,1406914.41,4125.85
2024-12-23,Showroom,377,1527933.3,4052.87
2024-12-30,Showroom,320,1299040.75,4059.5
2025-01-06,Showroom,301,1151342.31,3825.06
2025-01-13,Showroom,277,1025206.49,3701.11
2025-01-20,Showroom,276,1015935.36,3680.93
2025-01-27,Showroom,269,999781.06,3716.66
2025-02-03,Showroom,266,1033026.88,3883.56
2025-02-10,Showroom,272,1015752.7,3734.38
2025-02-17,Showroom,284,1077559.37,3794.22
2025-02-24,Showroom,266,960258.74,3610.0
2025-03-03,Showroom,261,987237.23,3782.52
2025-03-10,Showroom,290,1052432.0,3629.08
2025-03-17,Showroom,304,1069777.99,3519.01
2025-03-24,Showroom,287,1095007.23,3815.36
2025-03-31,Showroom,264,1036562.08,3926.37
2025-04-07,Showroom,261,971173.53,3720.97
2025-04-14,Showroom,261,916936.6,3513.17
2025-04-21,Showroom,272,1005977.86,3698.45
2025-04-28,Showroom,282,985937.81,3496.23
2025-05-05,Showroom,299,1063003.25,3555.19
2025-05-12,Showroom,235,841751.46,3581.92
2025-05-19,Showroom,279,1018210.19,3649.5
2025-05-26,Showroom,277,1001251.36,3614.63
2025-06-02,Showroom,272,1034196.49,3802.19
2025-06-09,Showroom,292,1045572.84,3580.73
2025-06-16,Showroom,303,1150813.1,3798.06
2025-06-23,Showroom,296,1069140.96,3611.96
2025-06-30,Showroom,263,966691.31,3675.63
2025-07-07,Showroom,299,1127060.95,3769.43
2025-07-14,Showroom,275,1031985.75,3752.68
2025-07-21,Showroom,294,1062852.72,3615.15
2025-07-28,Showroom,256,993778.74,3881.95
2025-08-04,Showroom,284,1080742.69,3805.43
2025-08-11,Showroom,270,973958.63,3607.25
2025-08-18,Showroom,282,1036913.56,3677.0
2025-08-25,Showroom,236,906488.26,3841.05
2025-09-01,Showroom,266,998890.75,3755.23
2025-09-08,Showroom,291,1044095.16,3587.96
2025-09-15,Showroom,274,1064522.33,3885.12
2025-09-22,Showroom,249,873401.73,3507.64
2025-09-29,Showroom,270,972883.17,3603.27
2025-10-06,Showroom,265,965606.75,3643.8
2025-10-13,Showroom,233,894626.61,3839.6
2025-10-20,Showroom,274,993489.66,3625.87
2025-10-27,Showroom,299,1087586.78,3637.41
2025-11-03,Showroom,269,986472.86,3667.19
2025-11-10,Showroom,278,1030140.38,3705.54
2025-11-17,Showroom,294,1079591.85,3672.08
2025-11-24,Showroom,312,1147532.68,3677.99
2025-12-01,Showroom,305,1102806.85,3615.76
2025-12-08,Showroom,264,1034111.95,3917.09
2025-12-15,Showroom,340,1352596.41,3978.22
2025-12-22,Showroom,309,1289862.43,4174.31
