WEEK_START,COMPONENT,CONTRIBUTION
2024-12-16,Paid Social,189082.77682343387
2024-12-23,Paid Social,156049.566974125
2024-12-30,Paid Social,169430.71019481
2025-01-06,Paid Social,157260.8145971674
2025-01-13,Paid Social,170818.10230215918
2025-01-20,Paid Social,196185.89069513307
2025-01-27,Paid Social,199324.3999807537
2025-02-03,Paid Social,187414.61529873483
2025-02-10,Paid Social,187645.55211406783
2025-02-17,Paid Social,182105.1908065204
2025-02-24,Paid Social,173059.81149204768
2025-03-03,Paid Social,160718.68889242975
2025-03-10,Paid Social,173182.14717751378
2025-03-17,Paid Social,181910.13798934332
2025-03-24,Paid Social,155590.63590332415
2025-03-31,Paid Social,193899.89576005712
2025-04-07,Paid Social,200902.44599352696
2025-04-14,Paid Social,195476.28149634055
2025-04-21,Paid Social,180356.8972782986
2025-04-28,Paid Social,187788.01848475297
2025-05-05,Paid Social,189483.68482373832
2025-05-12,Paid Social,174572.798335634
2025-05-19,Paid Social,165836.13248996777
2025-05-26,Paid Social,193546.94563726263
2025-06-02,Paid Social,179047.175586383
2025-06-09,Paid Social,194780.7366177944
2025-06-16,Paid Social,164105.48510344676
2025-06-23,Paid Social,149921.53497963335
2025-06-30,Paid Social,136852.61892311563
2025-07-07,Paid Social,153540.20118711374
2025-07-14,Paid Social,155822.95282261207
2025-07-21,Paid Social,135530.21748784915
2025-07-28,Paid Social,172432.07300190628
2025-08-04,Paid Social,178868.14772670713
2025-08-11,Paid Social,162929.1298135935
2025-08-18,Paid Social,161148.61810977885
2025-08-25,Paid Social,149385.4600432119
2025-09-01,Paid Social,162012.85355732718
2025-09-08,Paid Social,190813.543020641
2025-09-15,Paid Social,189173.4469061005
2025-09-22,Paid Social,190432.7835102725
2025-09-29,Paid Social,160476.5671143302
2025-10-06,Paid Social,158136.67618253452
2025-10-13,Paid Social,152107.8136873829
2025-10-20,Paid Social,160521.1464511255
2025-10-27,Paid Social,168403.5569931124
2025-11-03,Paid Social,170396.17033961762
2025-11-10,Paid Social,177794.9093078
2025-11-17,Paid Social,193510.2232128257
2025-11-24,Paid Social,199741.47921322216
2025-12-01,Paid Social,203857.2834310828
2025-12-08,Paid Social,199623.7196272278
2025-12-15,Paid Social,185593.17187212023
2025-12-22,Paid Social,170646.80291720323
2023-01-02,Display,64075.808667716614
2023-01-09,Display,80182.94255051523
2023-01-16,Display,118056.17066875502
2023-01-23,Display,108987.63225711168
2023-01-30,Display,184426.75091508628
2023-02-06,Display,194051.85840804945
2023-02-13,Display,156583.43063523073
2023-02-20,Display,140048.1716519413
2023-02-27,Display,146979.63346572657
2023-03-06,Display,124113.0846878418
2023-03-13,Display,125405.35748379298
2023-03-20,Display,119819.6778890313
2023-03-27,Display,136677.5178813083
2023-04-03,Display,118070.09431621784
2023-04-10,Display,104738.4056121339
2023-04-17,Display,133551.29294334794
2023-04-24,Display,108861.038011336
2023-05-01,Display,172276.70350034273
2023-05-08,Display,138209.0623574275
2023-05-15,Display,141107.47266746583
2023-05-22,Display,173331.98046771646
2023-05-29,Display,147841.56729097542
2023-06-05,Display,124060.21530341051
2023-06-12,Display,139035.00941904346
2023-06-19,Display,126735.88948366686
2023-06-26,Display,133083.43399008416
2023-07-03,Display,120295.2963728468
2023-07-10,Display,131582.92846688282
2023-07-17,Display,104834.6871739638
2023-07-24,Display,139492.1027936676
2023-07-31,Display,153063.444486791
2023-08-07,Display,135061.53917515647
2023-08-14,Display,134459.74022908713
2023-08-21,Display,111561.45687267827
2023-08-28,Display,114253.5464701914
2023-09-04,Display,104500.26673054174
2023-09-11,Display,110794.0766010732
2023-09-18,Display,183923.7454686061
2023-09-25,Display,155610.39383410395
2023-10-02,Display,119916.45430518808
2023-10-09,Display,100896.72259278
2023-10-16,Display,134289.91980734424
2023-10-23,Display,136805.79630852342
2023-10-30,Display,159724.84023204728
2023-11-06,Display,127252.58660111768
2023-11-13,Display,126170.75013960832
2023-11-20,Display,145466.79705582757
2023-11-27,Display,164774.828128438
2023-12-04,Display,161794.29339238265
2023-12-11,Display,152525.13751556323
2023-12-18,Display,159611.67076085752
2023-12-25,Display,132950.6062359288
2024-01-01,Display,143935.0376376445
2024-01-08,Display,135151.7507866266
2024-01-15,Display,119978.45924496598
2024-01-22,Display,113384.07296039887
2024-01-29,Display,142994.76950347816
2024-02-05,Display,134145.95796094125
2024-02-12,Display,133123.10070235244
2024-02-19,Display,136696.85092304123
2024-02-26,Display,156310.9953402347
2024-03-04,Display,151057.2750924035
2024-03-11,Display,121016.24179181944
2024-03-18,Display,122571.07443577723
2024-03-25,Display,123710.3034254534
2024-04-01,Display,136627.86430641837
2024-04-08,Display,135512.63506305325
2024-04-15,Display,143430.79342512524
2024-04-22,Display,136104.0412594884
2024-04-29,Display,157581.2754044476
2024-05-06,Display,145369.6725868063
2024-05-13,Display,121362.4481776817
2024-05-20,Display,166350.52183240282
2024-05-27,Display,147553.819797139
2024-06-03,Display,116148.06395096646
2024-06-10,Display,114596.38422573014
2024-06-17,Display,128238.00889536348
2024-06-24,Display,110089.95795192602
2024-07-01,Display,117864.45703385527
2024-07-08,Display,122157.22173265676
2024-07-15,Display,121936.19747239749
2024-07-22,Display,115732.56079187784
2024-07-29,Display,132524.86034010432
2024-08-05,Display,128043.08770827977
2024-08-12,Display,125213.05501871224
2024-08-19,Display,117141.64000464998
2024-08-26,Display,128948.75360836153
2024-09-02,Display,118376.20751207508
2024-09-09,Display,116922.08132942242
2024-09-16,Display,135534.9293074234
2024-09-23,Display,115164.76438067316
2024-09-30,Display,135479.23351302536
2024-10-07,Display,148685.97535061193
2024-10-14,Display,158086.7081380773
2024-10-21,Display,135762.40907483295
2024-10-28,Display,124526.61111495744
2024-11-04,Display,140827.72316991826
2024-11-11,Display,141694.1539102336
2024-11-18,Display,146842.6837587782
2024-11-25,Display,189442.0392363254
2024-12-02,Display,183757.7096120767
2024-12-09,Display,225535.56152798168
2024-12-16,Display,222724.34114876212
2024-12-23,Display,207529.2233949147
2024-12-30,Display,184911.10654949828
2025-01-06,Display,182679.30789002945
2025-01-13,Display,165553.02653554824
2025-01-20,Display,146594.60130562854
2025-01-27,Display,137892.38244056783
2025-02-03,Display,133949.03459287985
2025-02-10,Display,159058.18810372762
2025-02-17,Display,146002.90148847995
2025-02-24,Display,131786.92860156295
2025-03-03,Display,133070.66442262716
2025-03-10,Display,130214.75366413283
2025-03-17,Display,130008.12285782523
2025-03-24,Display,133071.89605246
2025-03-31,Display,115653.67656252728
2025-04-07,Display,119147.38730754968
2025-04-14,Display,110053.00036607988
2025-04-21,Display,119576.66023399075
2025-04-28,Display,116636.48943484036
2025-05-05,Display,123285.1547694882
2025-05-12,Display,133715.9442468283
2025-05-19,Display,116445.5717508854
2025-05-26,Display,138039.38072930838
2025-06-02,Display,181851.57968688765
2025-06-09,Display,198968.014234237
2025-06-16,Display,161145.14295625075
2025-06-23,Display,136713.70290296825
2025-06-30,Display,112070.21748549637
2025-07-07,Display,117780.41322511045
2025-07-14,Display,104593.65855036622
2025-07-21,Display,105971.84605769442
2025-07-28,Display,125739.46193935708
2025-08-04,Display,119601.9974915874
2025-08-11,Display,109249.66492180014
2025-08-18,Display,139116.1307871426
2025-08-25,Display,125948.86263812796
2025-09-01,Display,107617.87418311606
2025-09-08,Display,99948.97296442876
2025-09-15,Display,103341.35992750022
2025-09-22,Display,149098.90157462953
2025-09-29,Display,174464.1063409929
2025-10-06,Display,138753.00278752687
2025-10-13,Display,156980.1190319375
2025-10-20,Display,158085.49219873975
2025-10-27,Display,167060.2267929026
2025-11-03,Display,141527.16332049106
2025-11-10,Display,137020.87126870916
2025-11-17,Display,150464.31433151037
2025-11-24,Display,141329.02774037232
2025-12-01,Display,133746.40468746182
2025-12-08,Display,161130.8691263698
2025-12-15,Display,159839.26545213434
2025-12-22,Display,152141.97807071448
2023-01-02,Affiliate,122924.8710032001
2023-01-09,Affiliate,149126.3261676014
2023-01-16,Affiliate,188865.5662196565
2023-01-23,Affiliate,222372.4116076275
2023-01-30,Affiliate,176317.8443208572
2023-02-06,Affiliate,199234.1289725452
2023-02-13,Affiliate,197622.60638486303
2023-02-20,Affiliate,134377.96845594406
2023-02-27,Affiliate,214378.486873846
2023-03-06,Affiliate,189275.09454393963
2023-03-13,Affiliate,152813.7861411198
2023-03-20,Affiliate,195953.92019979365
2023-03-27,Affiliate,145367.8264788176
2023-04-03,Affiliate,116985.54799296727
2023-04-10,Affiliate,145162.91064279125
2023-04-17,Affiliate,127231.84690785209
2023-04-24,Affiliate,176989.86244202591
2023-05-01,Affiliate,160768.03252968183
2023-05-08,Affiliate,170918.83214241345
2023-05-15,Affiliate,205880.8792027352
2023-05-22,Affiliate,141815.51006742424
2023-05-29,Affiliate,162529.01252143006
2023-06-05,Affiliate,153372.56509728695
2023-06-12,Affiliate,179777.02017974705
2023-06-19,Affiliate,149343.1820483149
2023-06-26,Affiliate,190076.55388408797
2023-07-03,Affiliate,168107.94560879265
2023-07-10,Affiliate,143990.94189300717
2023-07-17,Affiliate,147738.33894905436
2023-07-24,Affiliate,154639.79447510256
2023-07-31,Affiliate,154067.0072792222
2023-08-07,Affiliate,150810.4645719368
2023-08-14,Affiliate,225541.7990887554
2023-08-21,Affiliate,167518.6934076776
2023-08-28,Affiliate,154660.18410027528
2023-09-04,Affiliate,145753.9162845923
2023-09-11,Affiliate,195410.33082225005
2023-09-18,Affiliate,182478.19810358563
2023-09-25,Affiliate,174393.89968055717
2023-10-02,Affiliate,153298.4140614316
2023-10-09,Affiliate,208184.81047209183
2023-10-16,Affiliate,172286.15092577427
2023-10-23,Affiliate,140251.79619313855
2023-10-30,Affiliate,188884.7405242645
2023-11-06,Affiliate,158607.2623721167
2023-11-13,Affiliate,223531.74756269067
2023-11-20,Affiliate,239955.3811942646
2023-11-27,Affiliate,223131.45395236608
2023-12-04,Affiliate,195226.24055702996
2023-12-11,Affiliate,198456.38873155692
2023-12-18,Affiliate,206148.7120353641
2023-12-25,Affiliate,214838.54813116233
2024-01-01,Affiliate,198276.898033891
2024-01-08,Affiliate,210624.1259251403
2024-01-15,Affiliate,208881.01575829263
2024-01-22,Affiliate,158646.53021714764
2024-01-29,Affiliate,205622.86757068455
2024-02-05,Affiliate,172004.04164062862
2024-02-12,Affiliate,218040.93586514052
2024-02-19,Affiliate,228495.7327473995
2024-02-26,Affiliate,198784.4733606964
2024-03-04,Affiliate,209218.61554263617
2024-03-11,Affiliate,157686.47373087754
2024-03-18,Affiliate,204742.6392227203
