CHANNEL,WEEKLY_SPEND,REVENUE,REVENUE_P05,REVENUE_P95,MARGINAL_ROI,WITHIN_OBSERVED_RANGE
Paid Search,315802.2294303797,736380.6229204811,469597.99742609466,1061770.0666895478,0.0465068102903611,TRUE
Paid Search,322118.2740189873,736657.8200627859,469967.353793708,1061831.108100174,0.0413719704905949,TRUE
Paid Search,328434.3186075949,736904.463613607,470297.86740221025,1061882.497449578,0.0368198894094458,TRUE
Paid Search,334750.3631962025,737124.015989997,470593.6005953683,1061925.7607379132,0.0327828594479247,TRUE
Paid Search,341066.40778481006,737319.5378075318,470858.19541946816,1061962.182784292,0.0292011859683163,FALSE
Paid Search,347382.4523734177,737493.7353966287,471094.9161869184,1061992.8453182266,0.0260222279695822,FALSE
Paid Search,353698.4969620253,737649.0026303024,471306.6879160553,1062018.6590633097,0.0231995537162916,FALSE
Paid Search,360014.54155063286,737787.4577458226,471529.7329293644,1062040.3907581768,0.0206921977909027,FALSE
Paid Search,366330.5861392405,737910.9757621926,471745.8052014318,1062058.6859118694,0.0184640075439722,FALSE
Paid Search,372646.630727848,738021.217023668,471941.07797440543,1062074.0879657462,0.0164830682791467,FALSE
Paid Search,378962.67531645566,738119.6523362562,472117.5967933001,1062087.054428537,0.0147211977361555,FALSE
Paid Search,385278.7199050632,738207.5851079567,472277.20344367984,1062097.9704620708,0.0131535015339474,FALSE
Paid Search,391594.7644936709,738286.1708540937,472421.556304978,1062107.1603200403,0.0117579822170936,FALSE
Paid Search,397910.8090822784,738356.4343853602,472875.9848392401,1062114.8969788002,0.0105151954214917,FALSE
Paid Search,404226.853670886,738419.2849577816,473529.53335436253,1062121.410245753,0.0094079474501125,FALSE
Paid Search,410542.8982594936,738475.529629944,474137.9806232392,1062126.8935858454,0.0084210292355594,FALSE
Paid Search,416858.9428481012,738525.8850430548,474704.3909783189,1062131.5098687368,0.0075409822725779,FALSE
Paid Search,423174.9874367088,738570.9878132449,475231.6271523858,1062135.396207224,0.006755892638791,FALSE
Paid Search,429491.0320253164,738611.4037024978,475722.6753893171,1062138.6680305717,0.0060552096935925,FALSE
Paid Search,435807.076613924,738647.6357144426,476192.3176381123,1062141.4225137015,0.0054295864603848,FALSE
Paid Search,442123.1212025315,738680.1312434507,476605.6920258788,1062143.7414640856,0.0048707390626248,FALSE
Paid Search,448439.1657911392,738709.2883899428,476641.1691371677,1062145.693752085,0.0043713229052111,FALSE
Paid Search,454755.21037974674,738735.4615411407,476673.1036163973,1062147.3373569378,0.0039248235747964,FALSE
Paid Search,461071.2549683544,738758.9663044751,476701.8598464456,1062148.7210891668,0.0035254606802526,FALSE
Paid Search,467387.299556962,738780.0838703562,476727.7638214783,1062149.8860405877,0.0031681030718811,FALSE
Paid Search,473703.34414556954,738799.0648717344,476751.107264608,1062150.8668049923,0.0028481940686803,FALSE
Paid Search,480019.3887341771,738816.132799806,476772.1512985738,1062151.692505778,0.0025616854902956,FALSE
Paid Search,486335.4333227847,738831.4870280415,476791.1297182428,1062152.3876610503,0.0023049794370336,FALSE
Paid Search,492651.47791139234,738845.3054904874,476808.2519084146,1062152.9729119127,0.0020748768900346,FALSE
Paid Search,498967.5225,738857.7470548009,476823.7054456626,1062153.465635575,0.0018685323165847,FALSE
Connected TV,0.0,0.0,0.0,0.0,3.950701607508644,TRUE
Connected TV,1766.4956962025317,6978.256977441846,4118.784255022352,10483.550773091836,3.949614171487628,TRUE
Connected TV,3532.9913924050634,13952.674814787671,8235.082219060536,20960.63970001451,3.946356551728953,TRUE
Connected TV,5299.487088607595,20919.430894315978,12346.413806393126,31424.821079389127,3.940942742977168,TRUE
Connected TV,7065.982784810127,27874.735396550743,16450.31130873439,41869.681412065656,3.933395838286233,TRUE
Connected TV,8832.478481012658,34814.84709143205,20544.325501530573,52288.85528468992,3.923747689910426,TRUE
Connected TV,10598.97417721519,41736.08842271515,24626.031652194073,62676.04099453237,3.912038450399752,TRUE
Connected TV,12365.469873417722,48634.859686530384,28693.03539898172,73025.01583315806,3.8983160086392847,TRUE
Connected TV,14131.965569620254,55507.65213362338,32742.978470392885,83329.6509497242,3.882635338308875,TRUE
Connected TV,15898.461265822783,62351.05985740363,36783.67424136138,93577.50255293076,3.865057778049125,TRUE
Connected TV,17664.956962025317,69161.79036489004,40852.64307755861,103768.77046116065,3.845650263466048,TRUE
Connected TV,19431.45265822785,75936.67376326189,44916.279466637854,113915.24223401918,3.8244845310241273,TRUE
Connected TV,21197.94835443038,82672.67052944508,48977.057860587265,123947.94506046096,3.801636312961496,TRUE
Connected TV,22964.444050632912,89366.87786263341,53031.99324397794,133950.5617488883,3.7771845407506945,TRUE
Connected TV,24730.939746835444,96016.5346487774,57080.61182898372,143877.1492439299,3.751210572493014,TRUE
Connected TV,26497.435443037975,102619.02509109932,61122.442934267725,153722.7172258719,3.723797457153695,TRUE
Connected TV,28263.931139240507,109171.88108117036,65157.01920699753,163476.8195732909,3.695029245893471,TRUE
Connected TV,30030.42683544304,115672.78340083352,69183.87684120897,172997.40167937233,3.664990358087646,TRUE
Connected TV,31796.92253164557,122119.56185639845,73181.47467682758,182257.92356454505,3.633765007078925,TRUE
Connected TV,33563.4182278481,128510.1944533508,77032.11813570246,191374.13936342008,3.6014366883849385,TRUE
Connected TV,35329.913924050634,134842.8057227854,80849.55694547623,200341.26912299945,3.5680877310464596,TRUE
Connected TV,37096.409620253165,141115.66431042537,84632.45917435446,209154.95841085128,3.5337989110952255,TRUE
Connected TV,38862.9053164557,147327.17993602905,88379.54969470309,217806.70596005808,3.4986491247551204,TRUE
Connected TV,40629.40101265823,153475.89982581127,92198.61061012796,226251.84755171704,3.4627151179575053,TRUE
Connected TV,42395.89670886076,159560.50471378554,96033.81755177016,234528.0674732462,3.426071268026963,TRUE
Connected TV,44162.39240506329,165579.8045001725,99859.78982240864,243062.80804144623,3.388789412942069,TRUE
Connected TV,45928.888101265824,171532.73364668275,103665.45106892932,250656.61019504096,3.3509387233564407,TRUE
Connected TV,47695.383797468356,177418.34637992195,107449.82028230996,258991.32480101552,3.31258561253509,TRUE
Connected TV,49461.87949367089,183235.81176569237,111212.2467685729,267284.8652731342,3.273793679478845,TRUE
Connected TV,51228.37518987342,188984.4087088064,114952.0970893922,275438.84039365844,3.2346236807364512,TRUE
Connected TV,52994.87088607595,194663.52092532863,118729.08895862778,283444.4427101148,3.1951335267062206,TRUE
Connected TV,54761.36658227848,200272.63192705423,122501.1062803868,291318.78857471765,3.1553782985782486,TRUE
Connected TV,56527.862278481014,205811.32005156192,126255.60499479668,299060.47368363757,3.1154102824402794,TRUE
Connected TV,58294.357974683546,211279.25356536216,129992.1344449324,306668.2970504796,3.0752790174479925,TRUE
Connected TV,60060.85367088608,216676.18586252892,133720.28173110186,314141.25660809333,3.0350313553289743,TRUE
Connected TV,61827.34936708861,222001.95077667368,137277.95109740747,321140.4840671436,2.994711528840239,TRUE
Connected TV,63593.84506329114,227256.45802022555,141061.94673397098,328679.5411246169,2.9543612271245197,TRUE
Connected TV,65360.34075949367,232439.6887616088,144762.9339321531,335728.71673820814,2.9140196762082184,TRUE
Connected TV,67126.8364556962,237551.69134803995,148398.9961811711,341543.200080316,2.8737237231507593,TRUE
Connected TV,68893.33215189874,242592.57717926928,152014.30163545377,348483.6157190685,2.8335079225924784,TRUE
Connected TV,70659.82784810127,247562.51673553756,155608.96207792987,354429.49812759866,2.7934046246562603,TRUE
Connected TV,72426.3235443038,252461.7357613612,159186.73223041496,360991.42450818885,2.7534440633390314,TRUE
Connected TV,74192.81924050633,257290.5116053623,162728.9766282984,368856.7460576348,2.7136544446850723,TRUE
Connected TV,75959.31493670886,262049.16971523105,165424.81868742677,375255.2791119658,2.674062034166423,TRUE
Connected TV,77725.8106329114,266738.08028599643,168059.46142019352,381837.05392058106,2.6346912428088456,TRUE
Connected TV,79492.30632911393,271357.6550590577,171154.7238931996,388353.0419402445,2.595564711697321,TRUE
Connected TV,81258.80202531646,275908.3442688442,174535.14998687975,394389.7468510926,2.5567033945753113,TRUE
Connected TV,83025.29772151899,280390.6337335387,177927.88655656407,400277.75427358545,2.518126638318971,TRUE
Connected TV,84791.79341772152,284805.0420859586,180860.08597842223,405933.2429070886,2.47985226112314,TRUE
Connected TV,86558.28911392405,289152.1181404395,184009.8232664698,411459.7721502266,2.441896628282045,TRUE
Connected TV,88324.78481012658,293432.4383914012,187126.73239913187,416858.58684938855,2.4042747254854917,TRUE
Connected TV,90091.28050632912,297646.6046391623,190215.34165784088,422050.056041526,2.367000229582579,TRUE
Connected TV,91857.77620253163,301795.24173849553,193282.70644556457,427949.6337081725,2.330085576790177,TRUE
Connected TV,93624.27189873418,305878.99546542356,196224.26243983256,432519.1064228772,2.293542028344218,TRUE
Connected TV,95390.76759493673,309898.5304977296,198503.09668168973,437769.57233341207,2.257379733608411,TRUE
Connected TV,97157.26329113924,313854.5285047285,200728.53336865272,444477.9208825858,2.221607790668382,TRUE
Connected TV,98923.75898734176,317747.68634188385,203007.85764554577,451046.2168179772,2.186234304449946,TRUE
Connected TV,100690.2546835443,321578.71434593375,205268.18931851207,455416.6843914461,2.151266442408592,TRUE
Connected TV,102456.75037974684,325348.33472629247,207217.5378881925,459398.8039187481,2.1167104878437906,TRUE
Connected TV,104223.24607594936,329057.2800485692,209114.63635967593,463213.72615401424,2.0825718908968365,TRUE
Connected TV,105989.7417721519,332706.2918061809,210960.42633137485,468411.35057719896,2.048855317294578,TRUE
Connected TV,107756.23746835443,336296.119076121,213782.36710949865,473773.7476316416,2.0155646949042385,TRUE
Connected TV,109522.73316455696,339827.51725508936,216780.10020614407,478479.59537353256,1.982703258166284,TRUE
Connected TV,111289.2288607595,343301.2468722838,219216.35773054537,484131.8310357954,1.9502735904735329,TRUE
Connected TV,113055.72455696204,346718.07247529225,220996.70496337055,490183.65341309656,1.918277664565243,TRUE
Connected TV,114822.22025316456,350078.7615856382,223456.3838832249,496024.8620333269,1.886716881005049,TRUE
Connected TV,116588.71594936708,353384.08372065716,225412.0775570049,499176.6879754284,1.8555921048113224,FALSE
Connected TV,118355.21164556962,356634.8094784958,227006.24480164945,504019.0387511463,1.8249037003079431,FALSE
Connected TV,120121.70734177215,359831.7096831529,228589.90258961992,508776.22134159703,1.7946515642626224,FALSE
Connected TV,121888.20303797469,362975.55458659946,230130.6154948155,513391.6964200819,1.7648351573788417,FALSE
Connected TV,123654.69873417722,366067.11312511534,231628.96298764297,519353.1972581967,1.735453534206212,FALSE
Connected TV,125421.19443037976,369107.15222712065,233085.8480229542,524452.8894352511,1.7065053715327645,FALSE
Connected TV,127187.69012658228,372096.4361698577,234562.7247698201,527941.0604138892,1.6779889953211042,FALSE
Connected TV,128954.1858227848,375035.7259824241,237516.5360921254,531200.8651963411,1.64990240624892,FALSE
Connected TV,130720.68151898736,377925.77889272606,238484.32982144607,535239.0000676695,1.6222433039125517,FALSE
Connected TV,132487.17721518988,380767.34781605226,238992.2085287654,539293.3046914192,1.5950091097508905,FALSE
Connected TV,134253.6729113924,383561.1808830494,239779.6575844886,543268.196621544,1.5681969887449136,FALSE
Connected TV,136020.16860759494,386308.0210049968,241073.23976352625,547245.7334813634,1.541803869946671,FALSE
Connected TV,137786.66430379747,389008.6054743359,242524.1582171927,551242.6197703191,1.515826465889678,FALSE
Connected TV,139553.16,391663.6655985543,243298.5882335386,557256.6310264461,1.4902612909309891,FALSE
Paid Social,0.0,0.0,0.0,0.0,2.38736844142008,TRUE
Paid Social,3919.172300389483,9348.53923900615,1632.3072651880088,27304.60559842906,2.3812763893637405,TRUE
Paid Social,7838.344600778967,18649.63675955825,3263.3223886090627,54415.83694928363,2.363236579364499,TRUE
Paid Social,11757.51690116845,27857.670284833264,4891.757317406775,81145.75941147532,2.333932875957542,TRUE
Paid Social,15676.689201557934,36930.46591550021,6516.332149076567,107316.99558683726,2.294426298423038,TRUE
Paid Social,19595.861501947416,45830.58425162596,8135.779138284582,132767.23131501756,2.2460532597887126,TRUE
Paid Social,23515.0338023369,54526.17564034676,9748.846622538314,157352.88007639645,2.190310566658398,TRUE
Paid Social,27434.206102726384,62991.387964507776,11354.302841109826,180951.75426972524,2.128744713225627,TRUE
Paid Social,31353.37840311587,71206.37129180967,12950.939622823009,203464.67813432915,2.0628585445354597,TRUE
Paid Social,35272.55070350535,79156.96310671921,14537.57591978945,224816.06042058792,1.9940422321586304,TRUE
Paid Social,39191.72300389483,86834.15341618995,16113.061165888674,244927.4180240206,1.923529764102735,TRUE
Paid Social,43110.89530428432,94233.4250703492,17676.27844070813,263788.4486344518,1.8523780596657369,TRUE
Paid Social,47030.0676046738,101354.04855501663,19227.213231372352,280725.2729306083,1.7814637068391144,TRUE
Paid Social,50949.23990506329,108198.3895532639,20765.795991601717,293274.9498429273,1.7114918566673176,TRUE
Paid Social,54868.41220545277,114771.26706465616,22289.686784727972,306946.65162239305,1.6430123982313136,TRUE
Paid Social,58787.58450584226,121079.38277588792,23797.974092385903,322390.2419673994,1.5764396069044018,TRUE
Paid Social,62706.75680623174,127130.82971368734,25289.79040672608,336856.4291736239,1.5120725993690167,TRUE
Paid Social,66625.92910662122,132934.67976762875,26756.604821775472,348275.45734646526,1.4501149175278052,TRUE
Paid Social,70545.1014070107,138500.64465158602,28137.14327664037,358331.9119967738,1.3906923172303365,TRUE
Paid Social,74464.27370740019,143838.80234283692,29580.43678737801,367373.3745411849,1.33386835898866,TRUE
Paid Social,78383.44600778967,148959.38015974243,30963.880011831166,375521.0138805588,1.2796577277630474,TRUE
Paid Social,82302.61830817915,153872.58576216723,32328.27266275302,382846.2511228387,1.228037398305571,TRUE
Paid Social,86221.79060856864,158588.47802534528,33668.583290558716,389418.4344468752,1.1789558572149803,TRUE
Paid Social,90140.96290895811,163116.87064945276,34826.6008900858,395526.97947067034,1.132340628227208,TRUE
Paid Social,94060.1352093476,167467.26234343153,35912.80073161292,406950.383607984,1.0881043482821997,TRUE
Paid Social,97979.30750973707,171648.78836234764,36958.11486085529,412994.5417808576,1.0461496248901367,TRUE
Paid Social,101898.47981012658,175670.1890334724,38162.79322331506,417136.9744510213,1.006372880296912,TRUE
Paid Social,105817.65211051604,179539.79165835667,39384.75577753387,420818.54379569186,0.9686673607027232,TRUE
Paid Social,109736.82441090554,183265.50282450608,40583.17668359867,425656.3593102863,0.932925462408804,TRUE
Paid Social,113655.99671129504,186854.80870746716,41757.84649912241,430892.94484390016,0.8990405027238049,TRUE
Paid Social,117575.16901168451,190314.78140269627,42908.60098184663,437546.48241721606,0.866908042298348,TRUE
Paid Social,121494.341312074,193652.08970797303,44035.31947436607,441506.5983500604,0.8364268473236048,TRUE
Paid Social,125413.51361246347,196873.01309249777,45149.142144879595,444165.04455859266,0.807499564535197,TRUE
Paid Social,129332.68591285296,199983.45784836533,46253.230515164774,446473.9429294128,0.7800331689150228,TRUE
Paid Social,133251.85821324243,202988.97463280463,47334.41187639326,449591.91722528695,0.7539392330631562,TRUE
Paid Social,137171.03051363194,205894.7767831062,48392.62744112174,455983.92806735105,0.7291340581151612,TRUE
Paid Social,141090.2028140214,208705.758927209,49427.88191702756,462159.0089360758,0.7055386985304688,TRUE
Paid Social,145009.37511441088,211426.51552695528,50440.212566645634,467159.92057827185,0.6830789068324092,TRUE
Paid Social,148928.5474148004,214061.3590828305,51429.68765351911,470203.11249938863,0.661685019230657,TRUE
Paid Social,152847.71971518986,216614.3378024708,52036.284334747914,472002.5988342443,0.6412917988236676,TRUE
Paid Social,156766.89201557933,219089.2525936229,52871.51293170782,475322.4839413843,0.6218382496104059,TRUE
Paid Social,160686.06431596883,221489.67328837313,54016.2693845657,478168.36497695826,0.6032674117092472,TRUE
Paid Social,164605.2366163583,223818.95404151935,54956.49033606469,480855.50785429735,0.5855261458792469,TRUE
Paid Social,168524.40891674778,226080.24787392505,55758.3659694018,489818.8706584124,0.5685649135741528,TRUE
Paid Social,172443.58121713728,228276.520353044,56536.491180665194,493462.5641296936,0.5523375572563157,TRUE
Paid Social,176362.75351752675,230410.5624188875,57218.24736990497,494840.0340199724,0.5368010844921242,TRUE
Paid Social,180281.92581791623,232485.0023755516,57984.15863423944,495990.8559800134,0.5219154583893714,TRUE
Paid Social,184201.09811830573,234502.3170769014,58651.73330783539,497040.423360467,0.5076433961754913,FALSE
Paid Social,188120.2704186952,236464.84234085077,59297.5815223409,497997.66092514934,0.4939501771170411,FALSE
Paid Social,192039.4427190847,238374.7826304061,59922.197398117125,498870.723977802,0.4808034605142603,FALSE
Paid Social,195958.61501947415,240234.2200418083,60526.07895381071,499667.06031790574,0.4681731141449265,FALSE
Paid Social,199877.78731986365,242045.12264098923,61109.72682415035,500393.4680978805,0.4560310532579386,FALSE
Paid Social,203796.95962025315,243809.35218955207,61673.643046936006,501056.14967302186,0.4443510900121743,FALSE
Paid Social,207716.13192064263,245528.67130074353,62218.329920204415,501660.7615762757,0.433108793105935,FALSE
Paid Social,211635.3042210321,247204.7500646859,62744.28893006113,502212.46077892435,0.4222813572355032,FALSE
Paid Social,215554.4765214216,248839.17218055265,63252.019749196035,502646.4260148952,0.4118474819485164,FALSE
Paid Social,219473.64882181108,250433.4406315829,63694.08041914326,503009.5865711047,0.4017872594115789,FALSE
Paid Social,223392.82112220055,251988.9829368788,63905.79201059215,503338.09724870446,0.3920820705857231,FALSE
Paid Social,227311.99342259005,253507.156011932,64104.9587390161,503635.24777782,0.3827144892930691,FALSE
Paid Social,231231.16572297952,254989.2506677895,64292.2898785769,506536.1584865908,0.3736681936595487,FALSE
Paid Social,235150.33802336903,256436.49577677567,64468.4586512352,512814.84490340686,0.3649278844285986,FALSE
Paid Social,239069.5103237585,257850.06213073697,64634.10357037431,519017.5653947693,0.356479209657027,FALSE
Paid Social,242988.68262414797,259231.06601589025,64789.829797408944,525144.3175978985,0.3483086953247798,FALSE
Paid Social,246907.85492453747,260580.5725265799,64936.21050085039,531195.1301242963,0.3404036814136394,FALSE
Paid Social,250827.02722492695,261899.59863854563,65073.788208819205,534489.9184149739,0.3327522630348357,FALSE
Paid Social,254746.1995253164,263189.11606069846,65203.07614736569,537797.7440530979,0.325343236211228,FALSE
Paid Social,258665.37182570592,264450.0538829269,65324.559558184446,537962.906224955,0.3181660479455098,FALSE
Paid Social,262584.5441260954,265683.30103604787,65438.696990403216,538054.5683104566,0.3112107502312755,FALSE
Paid Social,266503.71642648487,266889.70857871586,65545.92156209829,541683.2009273429,0.3044679576884437,FALSE
Paid Social,270422.8887268744,268070.09182492073,65646.64218804601,541790.4584549179,0.2979288085281885,FALSE
Paid Social,274342.0610272639,269225.23232457245,65749.21964043984,541840.017937891,0.2915849285750531,FALSE
Paid Social,278261.2333276533,270355.8797086627,65868.08606256252,541884.3496692948,0.2854283980951907,FALSE
Paid Social,282180.4056280428,271462.7534095369,65981.21265443385,541924.0048782667,0.2794517211996507,FALSE
Paid Social,286099.5779284323,272546.54426594864,66088.91974221016,543746.3400270116,0.2736477976103101,FALSE
Paid Social,290018.75022882177,273607.9160217721,66191.50953252346,545999.5811741778,0.2680098965934204,FALSE
Paid Social,293937.92252921127,274647.5067265025,66289.26705834498,546181.5699290972,0.2625316328818737,FALSE
Paid Social,297857.09482960077,275665.93004502566,66382.46108678679,547250.1200475134,0.2572069444222077,FALSE
Paid Social,301776.2671299902,276663.7764834954,66471.34498887254,551183.959744953,0.2520300717961196,FALSE
Paid Social,305695.4394303797,277641.6145376212,66556.15757155805,554897.6032582872,0.2469955391789635,FALSE
Paid Social,309614.6117307692,278599.99176912964,66637.12387249262,558536.3155842605,0.2420981367093284,FALSE
Display,0.0,0.0,0.0,0.0,2.8512346933434247,TRUE
Display,2217.5750886075944,6320.988669528189,2093.9713954554772,11878.866005392749,2.8487498476804674,TRUE
Display,4435.150177215189,12631.00368376921,4186.3755926836975,23731.968959817154,2.8413586866827223,TRUE
Display,6652.725265822783,18919.347715951433,6275.650082677076,35533.770103541894,2.8292449532311963,TRUE
Display,8870.300354430377,25175.84875970741,8360.241705077355,47259.175092320125,2.8126949155629744,TRUE
Display,11087.875443037972,31391.059954722707,10438.61124834957,58853.29177319643,2.792071585056497,TRUE
Display,13305.450531645563,37556.39768916286,12509.237961878269,70262.82634302363,2.7677856275117905,TRUE
Display,15523.02562025316,43664.21574577802,14570.62395211574,81482.03401619129,2.740267443087388,TRUE
Display,17740.600708860755,49707.82204144899,16621.298436156572,92482.34043700772,2.7099437373647124,TRUE
Display,19958.17579746835,55681.450135438405,18659.82182762995,103546.92795459669,2.6772203097796363,TRUE
Display,22175.750886075944,61580.19978867608,20684.789631565935,113992.09750964429,2.642471285528454,TRUE
Display,24393.32597468354,67399.96008067692,22694.83612687665,124066.5691663288,2.6060339527535734,TRUE
Display,26610.90106329113,73137.32604612877,24688.637817266645,134203.44346236673,2.568207833765223,TRUE
Display,28828.476151898725,78789.51658822507,26664.916633715296,144783.66530313954,2.5292565328192764,TRUE
Display,31046.05124050632,84354.29837600488,28622.44287412259,155029.24641319166,2.489411100245461,TRUE
Display,33263.62632911392,89829.91798340568,30560.037868243035,164377.76644287503,2.448873973163392,TRUE
Display,35481.20141772151,95215.04281368064,32476.5763586133,174155.0967427706,2.407822881213995,TRUE
Display,37698.7765063291,100508.71031276677,34370.988590773675,182847.10378257063,2.3664143789078644,TRUE
Display,39916.3515949367,105710.2844574666,36242.26210865549,192193.38940973204,2.3247868631670072,TRUE
Display,42133.92668354429,110819.4183412033,38089.44325352554,200665.3127244178,2.2830630594653516,TRUE
Display,44351.50177215189,115836.0217275839,39917.64449451733,208763.19472778248,2.241352027995618,TRUE
Display,46569.07686075948,120760.23259367008,41722.2564140763,216728.23915171213,2.1997507700635257,TRUE
Display,48786.65194936708,125592.39187120926,43501.3061132074,224237.0839081496,2.158345519619732,TRUE
Display,51004.22703797467,130333.02077495096,45254.10447729357,232171.15747424393,2.117212796746787,TRUE
Display,53221.80212658226,134982.80026310682,47114.78635573642,239861.13421448736,2.0764202864688195,TRUE
Display,55439.37721518986,139542.55229948543,48660.08150613391,247279.73414521583,2.036027591859426,TRUE
Display,57656.95230379745,144013.22268059943,50311.52824348085,254407.675870886,1.996086897375437,TRUE
Display,59874.52739240505,148395.86525832297,52042.66642957166,261965.7241494004,1.956643567580178,TRUE
Display,62092.10248101264,152691.62743482494,53917.80949725027,271165.53028995026,1.917736698102784,TRUE
Display,64309.67756962024,156901.73683671418,55787.56459418345,276994.93038046407,1.8793996295833584,TRUE
Display,66527.25265822784,161027.48909415855,57651.79052813243,282490.18141807005,1.8416604310929856,TRUE
