WEEK_START,CHANNEL,SPEND,IMPRESSIONS
2025-08-11,Paid Search,112350.86,2847237
2025-08-18,Paid Search,172440.82,4911088
2025-08-25,Paid Search,206099.5,5865161
2025-09-01,Paid Search,210665.58,5384840
2025-09-08,Paid Search,123949.96,3418346
2025-09-15,Paid Search,110117.41,2904147
2025-09-22,Paid Search,302285.66,8598899
2025-09-29,Paid Search,152702.17,3955034
2025-10-06,Paid Search,243977.55,5811489
2025-10-13,Paid Search,244549.33,6118218
2025-10-20,Paid Search,114671.94,3098728
2025-10-27,Paid Search,153272.73,3904432
2025-11-03,Paid Search,151695.73,3446778
2025-11-10,Paid Search,104967.67,2478377
2025-11-17,Paid Search,142193.91,3743660
2025-11-24,Paid Search,326244.74,7959642
2025-12-01,Paid Search,164159.57,4662941
2025-12-08,Paid Search,214556.16,5660162
2025-12-15,Paid Search,196712.06,5299829
2025-12-22,Paid Search,226472.85,6454461
2023-01-02,Connected TV,35296.14,1173297
2023-01-09,Connected TV,21784.78,639339
2023-01-16,Connected TV,44183.93,1390096
2023-01-23,Connected TV,37970.86,1120245
2023-01-30,Connected TV,62161.74,1850048
2023-02-06,Connected TV,46687.5,1461245
2023-02-13,Connected TV,0.0,0
2023-02-20,Connected TV,0.0,0
2023-02-27,Connected TV,0.0,0
2023-03-06,Connected TV,30849.23,1083762
2023-03-13,Connected TV,59766.03,1818432
2023-03-20,Connected TV,22326.34,683677
2023-03-27,Connected TV,39701.69,1241098
2023-04-03,Connected TV,49422.92,1509626
2023-04-10,Connected TV,30333.29,1030263
2023-04-17,Connected TV,0.0,0
2023-04-24,Connected TV,0.0,0
2023-05-01,Connected TV,0.0,0
2023-05-08,Connected TV,52708.48,1746395
2023-05-15,Connected TV,61043.16,1931902
2023-05-22,Connected TV,52203.77,1686688
2023-05-29,Connected TV,37650.85,1014011
2023-06-05,Connected TV,50410.89,1542813
2023-06-12,Connected TV,34456.25,1078175
2023-06-19,Connected TV,0.0,0
2023-06-26,Connected TV,0.0,0
2023-07-03,Connected TV,0.0,0
2023-07-10,Connected TV,51503.83,1681288
2023-07-17,Connected TV,27547.8,913815
2023-07-24,Connected TV,48405.42,1586692
2023-07-31,Connected TV,48840.21,1478373
2023-08-07,Connected TV,31028.81,945907
2023-08-14,Connected TV,46909.82,1506421
2023-08-21,Connected TV,0.0,0
2023-08-28,Connected TV,0.0,0
2023-09-04,Connected TV,0.0,0
2023-09-11,Connected TV,55212.6,1756325
2023-09-18,Connected TV,35889.86,1012825
2023-09-25,Connected TV,55588.88,1629401
2023-10-02,Connected TV,39507.52,1190280
2023-10-09,Connected TV,42075.84,1375945
2023-10-16,Connected TV,72255.91,2090384
2023-10-23,Connected TV,0.0,0
2023-10-30,Connected TV,0.0,0
2023-11-06,Connected TV,0.0,0
2023-11-13,Connected TV,34501.76,1074924
2023-11-20,Connected TV,60853.27,1938607
2023-11-27,Connected TV,49251.56,1568836
2023-12-04,Connected TV,33311.43,1028577
2023-12-11,Connected TV,57461.74,1955394
2023-12-18,Connected TV,70924.42,2112371
2023-12-25,Connected TV,0.0,0
2024-01-01,Connected TV,0.0,0
2024-01-08,Connected TV,0.0,0
2024-01-15,Connected TV,40091.21,1176432
2024-01-22,Connected TV,36865.21,1158136
2024-01-29,Connected TV,74568.77,2419472
2024-02-05,Connected TV,64437.05,2106505
2024-02-12,Connected TV,32154.17,974910
2024-02-19,Connected TV,39325.43,1256134
2024-02-26,Connected TV,0.0,0
2024-03-04,Connected TV,0.0,0
2024-03-11,Connected TV,0.0,0
2024-03-18,Connected TV,39526.83,1237693
2024-03-25,Connected TV,44244.29,1448109
2024-04-01,Connected TV,33078.32,1004661
2024-04-08,Connected TV,33085.01,1100985
2024-04-15,Connected TV,59033.83,1756660
2024-04-22,Connected TV,70156.64,2032995
2024-04-29,Connected TV,0.0,0
2024-05-06,Connected TV,0.0,0
2024-05-13,Connected TV,0.0,0
2024-05-20,Connected TV,53187.09,1701979
2024-05-27,Connected TV,116294.3,4028134
2024-06-03,Connected TV,36697.09,1152666
2024-06-10,Connected TV,41802.88,1290606
2024-06-17,Connected TV,42581.77,1300267
2024-06-24,Connected TV,35561.12,1163079
2024-07-01,Connected TV,0.0,0
2024-07-08,Connected TV,0.0,0
2024-07-15,Connected TV,0.0,0
2024-07-22,Connected TV,25745.18,797026
2024-07-29,Connected TV,42702.5,1272952
2024-08-05,Connected TV,32628.98,1090006
2024-08-12,Connected TV,24856.93,796422
2024-08-19,Connected TV,35346.3,1130030
2024-08-26,Connected TV,28412.69,906650
2024-09-02,Connected TV,0.0,0
2024-09-09,Connected TV,0.0,0
2024-09-16,Connected TV,0.0,0
2024-09-23,Connected TV,81712.37,2648798
2024-09-30,Connected TV,77273.42,2451043
2024-10-07,Connected TV,95688.57,2980184
2024-10-14,Connected TV,110648.9,3250783
2024-10-21,Connected TV,48604.28,1407647
2024-10-28,Connected TV,113820.78,3715050
2024-11-04,Connected TV,0.0,0
2024-11-11,Connected TV,0.0,0
2024-11-18,Connected TV,0.0,0
2024-11-25,Connected TV,86705.51,2615060
2024-12-02,Connected TV,95543.8,2823021
2024-12-09,Connected TV,51611.47,1587609
2024-12-16,Connected TV,82162.35,2812504
2024-12-23,Connected TV,62614.36,2005919
2024-12-30,Connected TV,59330.96,1782655
2025-01-06,Connected TV,0.0,0
2025-01-13,Connected TV,0.0,0
2025-01-20,Connected TV,0.0,0
2025-01-27,Connected TV,55391.72,1755950
2025-02-03,Connected TV,64783.0,2046273
2025-02-10,Connected TV,48381.07,1564803
2025-02-17,Connected TV,25446.11,818184
2025-02-24,Connected TV,28624.82,860178
2025-03-03,Connected TV,43667.18,1273014
2025-03-10,Connected TV,0.0,0
2025-03-17,Connected TV,0.0,0
2025-03-24,Connected TV,0.0,0
2025-03-31,Connected TV,60049.22,1934466
2025-04-07,Connected TV,22101.02,721677
2025-04-14,Connected TV,32756.43,1073775
2025-04-21,Connected TV,37390.25,1066703
2025-04-28,Connected TV,41344.64,1231174
2025-05-05,Connected TV,26573.54,803416
2025-05-12,Connected TV,0.0,0
2025-05-19,Connected TV,0.0,0
2025-05-26,Connected TV,0.0,0
2025-06-02,Connected TV,41617.05,1298260
2025-06-09,Connected TV,36921.5,1177938
2025-06-16,Connected TV,36310.68,1089559
2025-06-23,Connected TV,53548.72,1592339
2025-06-30,Connected TV,57426.29,1870745
2025-07-07,Connected TV,28873.76,920460
2025-07-14,Connected TV,0.0,0
2025-07-21,Connected TV,0.0,0
2025-07-28,Connected TV,0.0,0
2025-08-04,Connected TV,65683.63,1863845
2025-08-11,Connected TV,28897.48,871842
2025-08-18,Connected TV,55517.55,1846826
2025-08-25,Connected TV,46877.39,1492074
2025-09-01,Connected TV,71700.58,2454715
2025-09-08,Connected TV,38071.68,1149944
2025-09-15,Connected TV,0.0,0
2025-09-22,Connected TV,0.0,0
2025-09-29,Connected TV,0.0,0
2025-10-06,Connected TV,33870.61,1035820
2025-10-13,Connected TV,61771.76,1919344
2025-10-20,Connected TV,38212.21,1289625
2025-10-27,Connected TV,35816.24,1062771
2025-11-03,Connected TV,42009.44,1316883
2025-11-10,Connected TV,35040.54,1098690
2025-11-17,Connected TV,0.0,0
2025-11-24,Connected TV,0.0,0
2025-12-01,Connected TV,0.0,0
2025-12-08,Connected TV,63625.91,2123191
2025-12-15,Connected TV,45251.59,1407518
2025-12-22,Connected TV,33808.88,1053190
2023-01-02,Paid Social,80787.76,8919400
2023-01-09,Paid Social,80452.1,8428336
2023-01-16,Paid Social,155678.81,16009909
2023-01-23,Paid Social,147830.85,15924425
2023-01-30,Paid Social,84053.39,8320215
2023-02-06,Paid Social,181159.15,19492163
2023-02-13,Paid Social,143237.68,15819219
2023-02-20,Paid Social,109031.05,11559387
2023-02-27,Paid Social,74343.86,8587924
2023-03-06,Paid Social,132261.32,14488445
2023-03-13,Paid Social,111990.33,12211317
2023-03-20,Paid Social,76439.61,7380567
2023-03-27,Paid Social,82146.01,8773079
2023-04-03,Paid Social,81268.7,9783965
2023-04-10,Paid Social,68861.34,6884760
2023-04-17,Paid Social,84622.29,8999035
2023-04-24,Paid Social,69602.93,7344938
2023-05-01,Paid Social,80075.78,8715035
2023-05-08,Paid Social,166230.01,18840205
2023-05-15,Paid Social,97140.65,10267574
2023-05-22,Paid Social,43055.07,4729114
2023-05-29,Paid Social,95842.38,9805473
2023-06-05,Paid Social,62459.06,6561781
2023-06-12,Paid Social,59449.42,6601809
2023-06-19,Paid Social,91762.77,9194466
2023-06-26,Paid Social,63100.68,6770364
2023-07-03,Paid Social,139789.86,14749320
2023-07-10,Paid Social,104510.01,10580109
2023-07-17,Paid Social,76705.01,8339690
2023-07-24,Paid Social,98648.48,11091588
2023-07-31,Paid Social,123203.16,12582066
2023-08-07,Paid Social,102808.79,10717270
2023-08-14,Paid Social,76933.67,7422191
2023-08-21,Paid Social,97742.99,9708268
2023-08-28,Paid Social,116738.25,11928621
2023-09-04,Paid Social,86768.99,9220434
2023-09-11,Paid Social,109825.59,11362361
2023-09-18,Paid Social,83121.47,8568728
2023-09-25,Paid Social,83482.48,9194016
2023-10-02,Paid Social,87675.25,9756172
2023-10-09,Paid Social,95889.09,10131821
2023-10-16,Paid Social,83096.26,8576685
2023-10-23,Paid Social,104621.86,11193195
2023-10-30,Paid Social,94929.32,9989989
2023-11-06,Paid Social,89091.28,10022305
2023-11-13,Paid Social,77293.07,8140703
2023-11-20,Paid Social,79880.67,8939588
2023-11-27,Paid Social,97224.79,10310362
2023-12-04,Paid Social,84769.89,8994937
2023-12-11,Paid Social,111674.1,10447897
2023-12-18,Paid Social,88398.65,8660421
2023-12-25,Paid Social,69924.67,7999011
2024-01-01,Paid Social,114459.33,13257466
2024-01-08,Paid Social,162885.82,16258012
2024-01-15,Paid Social,74452.0,7348706
2024-01-22,Paid Social,108449.56,10363574
2024-01-29,Paid Social,150116.12,14817108
2024-02-05,Paid Social,113629.52,11819913
2024-02-12,Paid Social,167106.91,16619961
2024-02-19,Paid Social,80435.91,8717515
2024-02-26,Paid Social,88651.0,9350709
2024-03-04,Paid Social,61563.45,6666315
2024-03-11,Paid Social,70672.91,7546953
2024-03-18,Paid Social,64156.71,7015115
2024-03-25,Paid Social,136736.8,14336538
2024-04-01,Paid Social,51234.77,5283266
2024-04-08,Paid Social,114027.97,13081716
2024-04-15,Paid Social,132516.55,14306742
2024-04-22,Paid Social,111720.38,11781785
2024-04-29,Paid Social,127451.74,14379124
2024-05-06,Paid Social,60792.8,6518308
2024-05-13,Paid Social,109509.65,11979771
2024-05-20,Paid Social,119844.23,11567922
2024-05-27,Paid Social,90167.23,9324548
2024-06-03,Paid Social,63048.46,6513974
2024-06-10,Paid Social,98241.94,10929990
2024-06-17,Paid Social,155570.08,16497329
2024-06-24,Paid Social,76961.47,7974017
2024-07-01,Paid Social,60169.98,6192280
2024-07-08,Paid Social,66623.76,7109075
2024-07-15,Paid Social,93320.35,9853732
2024-07-22,Paid Social,94576.14,9589324
2024-07-29,Paid Social,156970.3,15650776
2024-08-05,Paid Social,62779.53,6804642
2024-08-12,Paid Social,134200.75,13996028
2024-08-19,Paid Social,78689.32,8455917
2024-08-26,Paid Social,178091.48,18857218
2024-09-02,Paid Social,156283.57,16548211
2024-09-09,Paid Social,90258.91,8525201
2024-09-16,Paid Social,72485.55,7896774
2024-09-23,Paid Social,87329.14,8641837
2024-09-30,Paid Social,88619.61,9276156
2024-10-07,Paid Social,68487.24,7465481
2024-10-14,Paid Social,72623.95,7083809
2024-10-21,Paid Social,99522.75,10498050
2024-10-28,Paid Social,104903.41,11267658
2024-11-04,Paid Social,130822.89,13564946
2024-11-11,Paid Social,64196.93,6164060
2024-11-18,Paid Social,121977.63,12546673
2024-11-25,Paid Social,91065.57,10276661
2024-12-02,Paid Social,114622.12,11521835
2024-12-09,Paid Social,124383.88,12897642
2024-12-16,Paid Social,119315.74,11971875
2024-12-23,Paid Social,53213.78,5424074
2024-12-30,Paid Social,104276.21,11177095
2025-01-06,Paid Social,74041.25,7397787
2025-01-13,Paid Social,107973.7,10899537
2025-01-20,Paid Social,154543.59,16160715
2025-01-27,Paid Social,135971.74,15445340
2025-02-03,Paid Social,101578.32,10737002
2025-02-10,Paid Social,114200.66,12108792
2025-02-17,Paid Social,102241.92,10860737
2025-02-24,Paid Social,89337.51,10223317
2025-03-03,Paid Social,75492.82,8219365
2025-03-10,Paid Social,109017.78,11584244
2025-03-17,Paid Social,117798.0,12083532
2025-03-24,Paid Social,60041.1,6647448
2025-03-31,Paid Social,159345.85,15925053
2025-04-07,Paid Social,142888.83,15844128
2025-04-14,Paid Social,118886.63,12519889
2025-04-21,Paid Social,89916.69,8613921
2025-04-28,Paid Social,121430.94,12391658
2025-05-05,Paid Social,118841.62,12988925
2025-05-12,Paid Social,85112.59,9183928
2025-05-19,Paid Social,82686.05,8266944
2025-05-26,Paid Social,149655.61,14015444
2025-06-02,Paid Social,90784.1,10051441
2025-06-09,Paid Social,140430.4,15543808
2025-06-16,Paid Social,60698.24,6246058
2025-06-23,Paid Social,64642.51,7115818
2025-06-30,Paid Social,57379.77,5816258
2025-07-07,Paid Social,92092.21,9859288
2025-07-14,Paid Social,85893.24,8720345
2025-07-21,Paid Social,53303.93,5381479
2025-07-28,Paid Social,128440.47,12623851
2025-08-04,Paid Social,114469.49,13021121
2025-08-11,Paid Social,76261.74,8981958
2025-08-18,Paid Social,86081.45,8928279
2025-08-25,Paid Social,68778.56,7093537
2025-09-01,Paid Social,98497.84,10752628
2025-09-08,Paid Social,150032.17,16771730
2025-09-15,Paid Social,117596.67,12135508
2025-09-22,Paid Social,120693.78,12335752
2025-09-29,Paid Social,58942.25,5907623
2025-10-06,Paid Social,80875.13,8164432
2025-10-13,Paid Social,74352.86,7747279
2025-10-20,Paid Social,93344.8,10442555
2025-10-27,Paid Social,102231.59,10278993
2025-11-03,Paid Social,99480.36,10733907
2025-11-10,Paid Social,112090.16,10645710
2025-11-17,Paid Social,140892.08,14900483
2025-11-24,Paid Social,139718.06,14579171
2025-12-01,Paid Social,142345.17,14994901
2025-12-08,Paid Social,124972.01,13451367
2025-12-15,Paid Social,95710.66,9855286
2025-12-22,Paid Social,80342.16,8112170
2023-01-02,Display,49793.4,11384209
2023-01-09,Display,38659.85,9321326
2023-01-16,Display,65851.94,15805927
2023-01-23,Display,38737.28,8845265
2023-01-30,Display,128569.52,30175735
2023-02-06,Display,97210.11,23346183
2023-02-13,Display,40377.38,10889379
2023-02-20,Display,45297.08,11257180
2023-02-27,Display,62087.21,14842406
2023-03-06,Display,35235.84,9071159
2023-03-13,Display,48146.54,12186743
2023-03-20,Display,42556.38,11118823
2023-03-27,Display,62464.15,16489017
2023-04-03,Display,35700.98,8982455
2023-04-10,Display,32179.54,7351347
2023-04-17,Display,66774.46,16498573
2023-04-24,Display,29004.53,6990052
2023-05-01,Display,109984.51,27715144
2023-05-08,Display,35945.01,8976455
2023-05-15,Display,57460.18,15218429
2023-05-22,Display,93920.52,24147135
2023-05-29,Display,44865.28,11402289
2023-06-05,Display,34482.32,8783336
2023-06-12,Display,62106.01,16685257
2023-06-19,Display,42563.27,10866736
2023-06-26,Display,55223.76,14779368
2023-07-03,Display,39467.92,10033821
2023-07-10,Display,56999.85,13925679
2023-07-17,Display,25991.88,6329500
2023-07-24,Display,72726.61,17977622
2023-07-31,Display,71409.0,17177670
2023-08-07,Display,43715.91,11568598
2023-08-14,Display,52372.62,13481683
2023-08-21,Display,30473.8,7839960
2023-08-28,Display,44006.71,11759966
2023-09-04,Display,34140.37,8600418
2023-09-11,Display,44663.96,11422707
2023-09-18,Display,125279.53,31928477
2023-09-25,Display,47216.96,11264972
2023-10-02,Display,26424.35,6665744
2023-10-09,Display,27096.35,6676017
2023-10-16,Display,68698.45,17115169
2023-10-23,Display,56135.27,14598877
2023-10-30,Display,80107.21,20123666
2023-11-06,Display,31894.08,7445308
2023-11-13,Display,47633.83,12654890
2023-11-20,Display,68767.5,17721288
2023-11-27,Display,81238.83,19940707
2023-12-04,Display,66074.26,16719145
2023-12-11,Display,56645.99,13036779
2023-12-18,Display,70147.05,19136482
2023-12-25,Display,37004.77,9624605
2024-01-01,Display,62652.02,13966804
2024-01-08,Display,48198.87,12025026
2024-01-15,Display,37709.93,9721431
2024-01-22,Display,39034.47,10401328
2024-01-29,Display,72627.47,17631783
2024-02-05,Display,48523.55,12465559
2024-02-12,Display,51732.34,13280169
2024-02-19,Display,56036.5,14331702
2024-02-26,Display,75917.3,19140583
2024-03-04,Display,58970.23,14498559
2024-03-11,Display,30298.85,7144225
2024-03-18,Display,47084.31,11943109
2024-03-25,Display,47998.4,11278774
2024-04-01,Display,60887.71,15112367
2024-04-08,Display,53233.56,13516317
2024-04-15,Display,61993.53,16948878
2024-04-22,Display,49948.26,12596836
2024-04-29,Display,77427.34,19040866
2024-05-06,Display,51817.47,13505874
2024-05-13,Display,33621.22,8435146
2024-05-20,Display,95010.63,24113972
2024-05-27,Display,49134.37,13618239
2024-06-03,Display,27345.6,7124838
2024-06-10,Display,41548.51,11003281
2024-06-17,Display,56382.85,12795291
2024-06-24,Display,32545.43,7862152
2024-07-01,Display,48510.55,12944147
2024-07-08,Display,49391.74,13197601
2024-07-15,Display,47129.75,10141811
2024-07-22,Display,41131.88,9952340
2024-07-29,Display,60867.59,14463338
2024-08-05,Display,48051.08,12749690
2024-08-12,Display,47155.94,11542057
2024-08-19,Display,40782.86,10198732
2024-08-26,Display,56296.04,13153678
2024-09-02,Display,40162.24,10356670
2024-09-09,Display,43787.12,11662611
2024-09-16,Display,63368.44,15826145
2024-09-23,Display,33800.87,8319919
2024-09-30,Display,63839.94,15434227
2024-10-07,Display,68320.19,17210844
2024-10-14,Display,71602.42,17722001
2024-10-21,Display,41270.74,9811484
2024-10-28,Display,41712.94,11443900
2024-11-04,Display,64353.73,15839864
2024-11-11,Display,57312.08,14295501
2024-11-18,Display,62243.05,15223323
2024-11-25,Display,112644.73,31167129
2024-12-02,Display,77410.45,20762521
2024-12-09,Display,145990.36,33822857
2024-12-16,Display,106622.29,28889047
2024-12-23,Display,82870.65,21439224
2024-12-30,Display,62697.99,16490501
2025-01-06,Display,75954.15,20056344
2025-01-13,Display,56769.68,14103582
2025-01-20,Display,46146.74,10490057
2025-01-27,Display,48014.57,11130092
2025-02-03,Display,49243.64,12052621
2025-02-10,Display,79346.67,17964630
2025-02-17,Display,51274.39,13562021
2025-02-24,Display,43453.63,10640725
2025-03-03,Display,52230.67,12862516
2025-03-10,Display,49242.98,13054775
2025-03-17,Display,50572.9,13194506
2025-03-24,Display,53906.01,13461779
2025-03-31,Display,35152.65,9786590
2025-04-07,Display,46992.53,11060779
2025-04-14,Display,37000.76,8551423
2025-04-21,Display,50407.77,13394710
2025-04-28,Display,43298.94,10748987
2025-05-05,Display,51122.7,13361544
2025-05-12,Display,58607.64,15484582
2025-05-19,Display,35980.56,8301663
2025-05-26,Display,65980.21,14945207
2025-06-02,Display,107958.49,29444682
2025-06-09,Display,105121.87,27856110
2025-06-16,Display,41755.64,9467842
2025-06-23,Display,38920.27,10323997
2025-06-30,Display,28387.24,7362795
2025-07-07,Display,46289.28,12272830
2025-07-14,Display,32142.76,7930343
2025-07-21,Display,39741.82,9729463
2025-07-28,Display,58537.44,15919563
2025-08-04,Display,43256.34,10701392
2025-08-11,Display,36162.18,9346309
2025-08-18,Display,70818.38,17206093
2025-08-25,Display,42648.73,10884632
2025-09-01,Display,31450.98,7972040
2025-09-08,Display,33175.7,7706192
2025-09-15,Display,39930.3,10219666
2025-09-22,Display,85197.99,20850598
2025-09-29,Display,92496.01,21995506
2025-10-06,Display,34699.87,8846788
2025-10-13,Display,74523.75,19294257
2025-10-20,Display,66177.96,16743137
2025-10-27,Display,76019.39,18381945
2025-11-03,Display,41472.6,9976477
2025-11-10,Display,50750.63,12738102
2025-11-17,Display,68164.61,17259888
2025-11-24,Display,51201.32,13353729
2025-12-01,Display,48016.25,11928185
2025-12-08,Display,82392.02,22219128
2025-12-15,Display,65913.64,16301811
2025-12-22,Display,57489.2,13676795
2023-01-02,Affiliate,36616.67,2961403
2023-01-09,Affiliate,39909.14,3224116
2023-01-16,Affiliate,57220.14,4307275
2023-01-23,Affiliate,76618.38,6157792
2023-01-30,Affiliate,41653.5,3628976
2023-02-06,Affiliate,59915.85,5126359
2023-02-13,Affiliate,56699.68,5026352
2023-02-20,Affiliate,25972.19,2023711
2023-02-27,Affiliate,74092.76,6536693
2023-03-06,Affiliate,49906.69,4541468
2023-03-13,Affiliate,34291.73,2759530
2023-03-20,Affiliate,59989.26,4921949
2023-03-27,Affiliate,30753.87,2569661
2023-04-03,Affiliate,24374.69,1996744
2023-04-10,Affiliate,37343.08,3076213
2023-04-17,Affiliate,28597.83,2459106
2023-04-24,Affiliate,51642.92,4244660
2023-05-01,Affiliate,39705.53,3111432
2023-05-08,Affiliate,45768.78,4205902
2023-05-15,Affiliate,65360.1,5353955
2023-05-22,Affiliate,28171.87,2276690
2023-05-29,Affiliate,42877.07,3487878
2023-06-05,Affiliate,37476.01,2978037
2023-06-12,Affiliate,50961.41,4295732
2023-06-19,Affiliate,34211.91,2638640
2023-06-26,Affiliate,56976.59,4937896
2023-07-03,Affiliate,41647.28,3771609
2023-07-10,Affiliate,32838.75,2507178
2023-07-17,Affiliate,36436.12,2857621
2023-07-24,Affiliate,39291.56,3015807
2023-07-31,Affiliate,38526.17,3285532
2023-08-07,Affiliate,37138.21,2901507
2023-08-14,Affiliate,82532.26,6851161
2023-08-21,Affiliate,36845.74,2915225
2023-08-28,Affiliate,37086.02,2893265
2023-09-04,Affiliate,34688.92,2841455
2023-09-11,Affiliate,60570.51,4795418
2023-09-18,Affiliate,48491.15,4382895
