week_start,actual,predicted,predicted_p05,predicted_p95,in_holdout_backtest,backtest_predicted
2023-05-29,3165514.98,3161774.1451376416,3096335.80740112,3230420.1701419908,False,3176515.984235378
2023-06-05,2904786.88,2960305.8756859903,2898378.60490268,3024748.030206491,False,2943939.9397165547
2023-06-12,2814456.38,2968990.2142879795,2908569.8990855874,3028667.9215640724,False,2958160.091225251
2023-06-19,3138441.24,2927798.41040348,2857259.461736659,2996330.488235782,False,2907936.16261476
2023-06-26,3061993.12,2995317.6811295385,2935658.0450464142,3052628.3576279073,False,2993353.5793556664
2023-07-03,2933675.52,2921072.0556672574,2853563.999045982,2998047.3865604065,False,2920433.8095427603
2023-07-10,3050250.16,3054748.8152643996,2996082.0709469896,3116825.908899449,False,3064446.6611725246
2023-07-17,3174119.9699999997,3132327.5447599823,3070910.501541944,3189672.2700568233,False,3127067.612737528
2023-07-24,3118027.71,3125305.493685111,3069872.131829542,3182456.6548218746,False,3113169.6073333817
2023-07-31,2989013.05,3040432.176277656,2973470.702530733,3104364.0921830237,False,3026062.7834106283
2023-08-07,3072474.02,3014114.4451351226,2955685.782838624,3071587.4136562124,False,3012453.905489781
2023-08-14,3115881.29,3087729.760071231,3023147.319986648,3149573.7736175265,False,3100947.525314399
2023-08-21,2904296.77,3012068.996700778,2947308.3758065705,3077836.93886653,False,3045109.045867349
2023-08-28,2784176.4,2813369.8646488125,2748513.0470890463,2881250.179808745,False,2832439.2897169422
2023-09-04,2868371.79,2844853.3487581094,2782455.0983451065,2903016.687135074,False,2858932.8779615625
2023-09-11,3119324.17,3007838.3318413836,2945580.036309536,3068612.5551613346,False,3018868.036143896
2023-09-18,2902296.44,2944146.4414854087,2880650.6124578984,3010407.321887791,False,2931510.025602377
2023-09-25,2869261.71,2887894.6897451407,2822511.4073001468,2952084.7420256734,False,2868808.06265748
2023-10-02,3062311.21,2944043.453683279,2873341.4302356634,3001894.2013940266,False,2945788.882014068
2023-10-09,2910387.8,2980102.4408664876,2898083.950419196,3062422.753517125,False,2969618.0939466846
2023-10-16,3088448.05,3066770.828743143,3004664.4888402647,3134420.028009894,False,3086160.3537619794
2023-10-23,3003921.17,3080459.092484649,3017366.725942803,3151487.0341060976,False,3105217.862159221
2023-10-30,3208505.5700000003,3168954.6623566123,3103018.313773668,3232927.8268598337,False,3207171.978099666
2023-11-06,3106518.02,3119370.5925571052,3045795.5238909577,3191820.2124313405,False,3127891.6218805057
2023-11-13,3363446.66,3277575.0961138173,3205818.175303259,3346934.932284104,False,3289029.192058393
2023-11-20,3846540.9,3762463.0592051037,3678821.6625551176,3842720.806323671,False,3772416.3706339956
2023-11-27,3499605.23,3526756.144065095,3455000.4931169637,3597411.7038034066,False,3532344.4647624753
2023-12-04,3522389.53,3772193.0484160115,3704189.182458581,3839932.0268583694,False,3793430.045930524
2023-12-11,3785303.41,3839516.5730491607,3771758.1958969557,3911724.051438003,False,3870030.491339125
2023-12-18,4197854.12,4077944.2249434316,4019884.350723102,4142316.7622793117,False,4087834.2907448215
2023-12-25,3835788.1900000004,3606060.467149013,3542682.891270504,3678812.517684802,False,3612178.1751657263
2024-01-01,3234403.36,3401662.3180941762,3337943.9629927753,3461223.564553868,False,3389393.4271796793
2024-01-08,3187960.41,3201430.8765872014,3132335.0019121044,3267559.957767461,False,3204659.031664231
2024-01-15,2770590.2800000003,3007287.8270970667,2945113.781563988,3071277.0396898324,False,3012647.665723971
2024-01-22,2978462.45,2943275.547480042,2876705.190021668,3010555.1750398264,False,2966215.351731149
2024-01-29,3205055.95,3108666.780370531,3053984.9498648434,3164232.3479503733,False,3113094.654281722
2024-02-05,3177234.13,3108401.5179323764,3054221.8479152257,3163193.6436427343,False,3109770.9188981033
2024-02-12,3511606.39,3520856.2149571073,3462613.5088526574,3585933.957237321,False,3509414.666084436
2024-02-19,3136865.61,3148851.268059429,3088313.956619929,3211760.4606725047,False,3145195.456468699
2024-02-26,3167393.41,3218371.129627447,3159603.627790228,3283468.9537718594,False,3224770.4410215192
2024-03-04,3051416.11,3053813.3541743928,2992464.658983266,3116581.711361704,False,3056082.5888643414
2024-03-11,2956548.8200000003,2879789.8798861634,2825314.167619368,2935479.4940631506,False,2873707.954503117
2024-03-18,3034457.4,2995415.149830817,2931077.251167919,3058661.8660805635,False,2992930.4227373414
2024-03-25,3096787.73,3153175.932647651,3094059.589295783,3217191.8817611556,False,3155901.4985495075
2024-04-01,2792100.45,2864034.42474071,2769172.305413649,2956237.730924289,False,2862377.3826092673
2024-04-08,2751132.59,2814774.395260999,2710905.1803043094,2919027.3638495384,False,2815662.8703486957
2024-04-15,3105488.0999999996,3109328.30998466,3044816.5274598813,3175891.4102094476,False,3101239.228459342
2024-04-22,3082038.2,3025394.656918987,2945970.4609049694,3099222.5070413784,False,3032066.9503298216
2024-04-29,3013178.75,2977130.445690282,2900123.34149387,3059332.0067389277,False,2962267.0911166463
2024-05-06,3323386.1799999997,3380353.179390203,3304554.412462655,3449489.572792945,False,3364049.7567506386
2024-05-13,3061606.24,3013162.4662797702,2951774.1275287652,3067158.2278558644,False,2999464.2565798913
2024-05-20,3411763.4299999997,3283914.419142039,3211460.736788129,3350095.385740468,False,3277475.5936448807
2024-05-27,3444191.4,3412933.8680396513,3343760.501512627,3477386.5874864,False,3414192.561477784
2024-06-03,3395478.1399999997,3417063.289496115,3349548.392131675,3481859.8887418592,False,3410681.1566511495
2024-06-10,3364855.5300000003,3356680.0544933397,3291139.7890770133,3413692.9536424954,False,3342922.9967910163
2024-06-17,3334257.73,3441794.645857049,3370759.545229793,3510732.5734564345,False,3438711.689361763
2024-06-24,3305292.9499999997,3413152.628943452,3352824.038958699,3474626.262889885,False,3419670.73354763
2024-07-01,3235729.35,3215171.0084473086,3143479.1845628163,3280931.287786782,False,3199036.216056952
2024-07-08,3248260.21,3299544.307495242,3230086.231121262,3370386.0255898666,False,3278491.5338612413
2024-07-15,3200653.6,3282496.7154905163,3205743.7312829196,3356697.2769740745,False,3239846.7775649657
2024-07-22,3264432.17,3360483.9841067875,3294949.3661353327,3429365.367432381,False,3343949.270136485
2024-07-29,3467676.29,3479751.1117056687,3404313.6650745017,3553985.2266264316,False,3489288.0342972497
2024-08-05,3416909.0,3320537.495547365,3246831.4821754857,3387517.773907973,False,3332584.158991412
2024-08-12,3406029.74,3308492.1741924165,3250482.0005582413,3366239.7924350454,False,3318299.691072731
2024-08-19,3210731.7800000003,3238108.1372391023,3176138.000479759,3295963.7560362676,False,3258903.5480488185
2024-08-26,3358870.56,3292709.8934380384,3227658.023664655,3352445.350444623,False,3317207.4026110796
2024-09-02,3150186.29,3181180.2605788843,3118490.2468362907,3240211.236343996,False,3176597.2641583234
2024-09-09,3165226.1799999997,3174654.0047086817,3113832.5600242154,3238244.0083047035,False,3163467.862944729
2024-09-16,3188025.1700000004,3209983.5379925356,3140998.7953944025,3282800.5450044144,False,3196910.135974435
2024-09-23,3108540.77,3156006.640018825,3079298.201229484,3224485.379720172,False,3149756.4320031703
2024-09-30,3110279.81,3185666.558988935,3121455.4929656447,3248550.0489402446,False,3175769.8735437053
2024-10-07,3491440.33,3379441.941306676,3310205.4492088505,3438500.0615888126,False,3379081.0798559934
2024-10-14,3429313.3200000003,3374386.263097263,3310989.222880968,3437071.486758436,False,3383173.2182567804
2024-10-21,3371151.6,3448452.2506572623,3383949.896297387,3507142.456306624,False,3451627.3772465633
2024-10-28,3487471.36,3514278.011207698,3440970.17317439,3588592.0832583583,False,3541038.6026669336
2024-11-04,3549439.18,3498634.2541297604,3427965.086474296,3570608.7890668395,False,3471268.49550306
2024-11-11,3595144.8200000003,3556900.2928591385,3487483.146737843,3626950.400411849,False,3551437.3739650953
2024-11-18,3818660.77,3676949.256324193,3607328.9372879807,3752039.0382468225,False,3685266.1028756564
2024-11-25,3899911.51,4018655.9920318667,3935677.367968055,4101230.5275581595,False,4013297.147097796
2024-12-02,4002858.7,3932235.3692655526,3857044.7218421516,4006164.443686185,False,3937420.5306442035
2024-12-09,3970055.3499999996,4099576.1609272207,4025078.020186904,4176442.1441392247,False,4103826.680461269
2024-12-16,4586134.39,4345494.758282499,4279360.776133542,4414922.767846788,False,4355860.984015187
2024-12-23,4277952.92,4193754.2097047092,4122417.5983681846,4266460.551724857,False,4186063.620916695
2024-12-30,3892554.99,3890946.840179588,3815275.552260327,3963856.118177609,False,3903817.417393446
2025-01-06,3327267.86,3456507.9411153565,3389742.5226289,3523690.8163692364,False,3428628.2087685233
2025-01-13,3221281.4000000004,3250984.6775033004,3180643.1246014456,3324096.4171700054,False,3238625.596312152
2025-01-20,3142791.1799999997,3146772.3813015698,3081136.7942600935,3212819.685145268,False,3136807.224034992
2025-01-27,3485348.8000000003,3371073.884590032,3307748.257754077,3434154.241203205,False,3390208.2926246305
2025-02-03,3451939.4,3353235.1018755976,3286776.578751732,3410223.9994872967,False,3372535.16899686
2025-02-10,3494167.8099999996,3633419.0462304326,3570706.8054643883,3693443.168918789,False,3636699.974130488
2025-02-17,3384001.0,3380521.2326062773,3318749.345937316,3443232.509898383,False,3393483.7391190203
2025-02-24,3091235.49,3214493.4744819715,3150219.3550856262,3287658.716644002,False,3220131.5073104836
2025-03-03,3341321.52,3245962.9928301102,3188354.4543386977,3310553.607355731,False,3262071.534466595
2025-03-10,3214729.03,3263992.761751908,3202387.4829556528,3323664.764225819,False,3275434.208515896
2025-03-17,3367665.9400000004,3215885.818788259,3160801.7998458855,3271386.7523035733,False,3218662.305143827
2025-03-24,3276385.87,3211813.9252466573,3146849.422997127,3279984.9817107907,False,3206428.0983365206
2025-03-31,3265956.66,3303209.147375604,3243536.330620193,3360264.724357846,False,3315525.8552069943
2025-04-07,3265166.13,3291093.0612414777,3231595.932905828,3347781.818188111,False,3293670.438832594
2025-04-14,3113271.68,3251623.392732467,3188515.37725483,3311207.4741340117,False,3255799.9342324333
2025-04-21,3547138.59,3382032.9012161763,3311640.517430475,3445475.2683195733,False,3394916.457724643
2025-04-28,3190111.32,3266518.8167235493,3206262.2782175215,3323448.697125358,False,3282186.1400253433
2025-05-05,3546840.28,3583794.2749155317,3512268.1759520727,3656350.295648284,False,3589631.113242937
2025-05-12,3367005.84,3290783.5611965884,3225487.873016589,3350444.7310174224,False,3294545.4877168555
2025-05-19,3174353.54,3241435.845905642,3170937.591250157,3304039.5269874944,False,3241877.8323801905
2025-05-26,3279537.21,3269948.2363460595,3204966.2001106776,3331494.0001899684,False,3259880.7748762565
2025-06-02,3395692.8,3384257.051522636,3312898.908448585,3453493.360487299,False,3391492.7095189174
2025-06-09,3454435.11,3411269.8009687555,3335973.031267155,3485480.0077387798,False,3423396.6484298534
2025-06-16,3521508.99,3475543.3966056895,3404264.584155741,3544566.569555099,False,3499444.288746544
2025-06-23,3585251.11,3533152.874966107,3471995.4962771265,3593345.173434295,False,3569703.1358211227
2025-06-30,3447744.68,3487807.859486625,3419834.905698158,3550539.4851624,True,3514120.009840658
2025-07-07,3552623.6500000004,3484361.8548991056,3428229.127465698,3548655.9267884986,True,3497106.132216785
2025-07-14,3505011.25,3452269.0304734767,3383053.9892870025,3515627.8867802555,True,3427912.332264048
2025-07-21,3323121.3099999996,3348265.8622400505,3283717.349779777,3408737.970023496,True,3329396.231726767
2025-07-28,3210206.99,3207603.390826416,3140315.4621769246,3275222.182923983,True,3192599.903330945
2025-08-04,3503306.14,3515487.5254513756,3446724.4661716986,3581443.6427390743,True,3543686.4663944845
2025-08-11,3380004.09,3306971.272319877,3249301.8222232275,3361102.9330519354,True,3331462.5117612267
2025-08-18,3468971.21,3458027.6743140495,3399385.300348004,3512887.641354466,True,3508618.8459182256
2025-08-25,3272215.5599999996,3402431.883250718,3337689.723147474,3465734.220152752,True,3466595.912854156
2025-09-01,3406652.58,3432443.6175915953,3367664.5951582724,3495548.8701942996,True,3486998.0681323595
2025-09-08,3373183.7,3376425.9580063205,3310868.504159349,3441009.3510801913,True,3385887.1410254436
2025-09-15,3221545.0100000002,3190548.750619231,3124751.5035433206,3262392.597449994,True,3168378.1990540153
2025-09-22,3344664.65,3333968.68792543,3266763.022330475,3399812.388753914,True,3330987.843875302
2025-09-29,3365039.87,3243231.7808814673,3176702.0706043374,3307548.4851520867,True,3244685.5624585585
2025-10-06,3281638.17,3332229.886523935,3263765.4380098293,3397432.689750666,True,3373920.052560276
2025-10-13,3361492.7399999998,3475470.831588257,3406315.558935808,3544814.9150527488,True,3546812.4442125857
2025-10-20,3483808.44,3474885.8152095717,3403894.171224717,3542885.9414332327,True,3531186.4815207715
2025-10-27,3523571.2800000003,3531333.0019229283,3465226.571285701,3593322.1302986145,True,3592523.71395811
2025-11-03,3665529.84,3686159.380792876,3616293.122009424,3754591.9279798367,True,3745851.345117577
2025-11-10,3534438.88,3539148.3449602216,3476081.828094391,3597348.1983620585,True,3560801.5333126746
2025-11-17,3711308.24,3705890.5377109908,3640003.2149517005,3778626.9188411096,True,3723770.2487137187
2025-11-24,3989414.6799999997,4072016.379374367,4001622.209087295,4145545.0986634986,True,4081017.3721500565
2025-12-01,3875589.81,3846479.058252648,3776985.269114761,3921501.0668030274,True,3858303.877139717
2025-12-08,4008416.6799999997,4166111.7541374075,4095786.4143977603,4235385.257514364,True,4221570.503645326
2025-12-15,4544320.53,4437219.935508476,4365504.454516299,4503879.507967005,True,4461070.163529632
2025-12-22,4278950.15,4307739.991571058,4238995.351991827,4379813.009528027,True,4334003.266982475
